year,school,row,cohort,send,ehcp,fsm,all_C_ARE,all_C_GD,all_GLD,all_MTC,all_M_ARE,all_M_GD,all_PHONICS,all_R_ARE,all_R_GD,all_W_ARE,all_W_GD,fsm_C_ARE,fsm_C_GD,fsm_GLD,fsm_MTC,fsm_M_ARE,fsm_M_GD,fsm_PHONICS,fsm_R_ARE,fsm_R_GD,fsm_W_ARE,fsm_W_GD,non_fsm_C_ARE,non_fsm_C_GD,non_fsm_GLD,non_fsm_MTC,non_fsm_M_ARE,non_fsm_M_GD,non_fsm_PHONICS,non_fsm_R_ARE,non_fsm_R_GD,non_fsm_W_ARE,non_fsm_W_GD
EYFS,CVPS,6,27.0,4.0,0.0,2.0,,,0.52,,,,,,,,,,,0.5,,,,,,,,,,,0.64,,,,,,,,
EYFS,CHPS,7,70.0,18.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EYFS,FPS,8,45.0,6.0,1.0,15.0,,,0.57,,,,,,,,,,,0.64,,,,,,,,,,,0.57,,,,,,,,
EYFS,GHPS,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EYFS,HPS,10,54.0,7.0,5.0,12.0,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EYFS,LPS,11,6.0,0.0,0.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
EYFS,LGPS,12,50.0,7.0,1.0,12.0,,,0.53,,,,,,,,,,,0.33,,,,,,,,,,,0.45,,,,,,,,
Year 1,CVPS,7,27.0,9.0,4.0,5.0,0.48,0.0,,,0.56,0.0,0.59,0.63,0.0,0.56,0.0,0.2,0.0,,,0.4,0.0,0.4,0.2,0.0,0.2,0.0,0.55,0.0,,,0.59,0.0,0.64,0.73,0.0,0.64,0.0
Year 1,CHPS,8,64.0,17.0,11.0,19.0,0.43,0.0,,,0.48,0.0,0.56,0.46,0.0,0.46,0.0,0.43,0.0,,,0.48,0.0,,0.48,0.0,0.47,0.0,0.44,,,,0.48,0.0,,0.45,0.0,0.48,0.0
Year 1,FPS,9,59.0,8.0,2.0,14.0,0.49,0.0,,,0.64,0.0,0.75,0.53,0.0,0.53,0.0,0.33,0.0,,,0.33,0.0,0.67,0.5,0.0,0.5,0.0,0.51,0.0,,,0.68,0.0,0.65,0.53,0.0,0.53,0.0
