FIELD NAME IN APP,DATA SOURCE,REQUIRED?,EXAMPLE,YOUR COL 1,YOUR COL 2
budget_line_id,APP GENERATED,YES,(auto),,
code,FILE IMPORT,YES,SALTEACH,,
description,FILE IMPORT,YES,Teachers Salaries,,
category,FILE IMPORT,NO,SALARY,,
year_group,FILE IMPORT,NO,,,
cost_center,FILE IMPORT,YES,CC-001,,
original_budget,FILE IMPORT,YES,500000,,
revised_budget,FILE IMPORT,NO,505000,,
current_actual,TRANSACTIONS,(calculated),,,
budget_variance,CALCULATED,(calculated),,,
variance_percentage,CALCULATED,(calculated),,,
period,FILE IMPORT,YES,2024-25,,
funding_source,FILE IMPORT,NO,General Annual Grant,,
cfr_code,FILE IMPORT,NO,G01,,
notes,FILE IMPORT,NO,,,
