FIELD NAME IN APP,DATA SOURCE,REQUIRED?,EXAMPLE,YOUR COL 1,YOUR COL 2
staff_id,APP GENERATED,YES,(auto-generated),,
staff_member_id,FILE IMPORT,YES,12345,,
payroll_reference,FILE IMPORT,NO,PAY-001,,
contract_type,FILE IMPORT,YES,Permanent,,
start_date,FILE IMPORT,YES,2024-09-01,,
end_date,FILE IMPORT,NO,,,
fte_hours,FILE IMPORT,NO,1,,
annual_salary,FILE IMPORT,NO,35000,,
monthly_gross,FILE IMPORT,NO,2916.67,,
pay_scale_code,FILE IMPORT,NO,M4,,
pay_scale_point,FILE_IMPORT,NO,5,,
job_title,FILE IMPORT,YES,Class Teacher,,
cost_center,FILE IMPORT,NO,SALTEACH,,
pension_scheme,FILE IMPORT,NO,TPS,,
contract_hours,FILE IMPORT,NO,32.5,,
status,APP GENERATED,YES,Active,,
