pupil_hash,year_group,is_fsm,is_send,send_type,is_eal,is_pp,gender,academic_year_start,assessment_period,subject,attainment_level,scaled_score,raw_score,teacher_assessment,progress_score,prior_attainment_band
Y380209321049,2,false,true,SEMH,true,true,F,2025,Spring,Reading,WTS,87,,WTS,-1.2,Low
Y380209321049,2,false,true,SEMH,true,true,F,2025,Spring,Writing,PKE,,,PKE,-2.1,Low
Y380209321049,2,false,true,SEMH,true,true,F,2025,Spring,Maths,WTS,89,,WTS,-0.8,Low
A380101022037,2,false,true,,true,false,F,2025,Spring,Reading,WTS,91,,WTS,0.1,Middle
A380101022037,2,false,true,,true,false,F,2025,Spring,Writing,WTS,,,WTS,-0.3,Middle
A380101022037,2,false,true,,true,false,F,2025,Spring,Maths,EXS,100,,EXS,0.5,Middle
F380210322008,2,true,true,,false,true,M,2025,Spring,Reading,EXS,102,,EXS,1.1,Middle
F380210322008,2,true,true,,false,true,M,2025,Spring,Writing,EXS,,,EXS,0.8,Middle
F380210322008,2,true,true,,false,true,M,2025,Spring,Maths,EXS,101,,EXS,0.9,Middle
X380209322032,2,false,false,,false,false,F,2025,Spring,Reading,EXS,103,,EXS,0.6,Middle
X380209322032,2,false,false,,false,false,F,2025,Spring,Writing,EXS,,,EXS,0.4,Middle
X380209322032,2,false,false,,false,false,F,2025,Spring,Maths,GDS,110,,GDS,2.1,High
T380209322037,2,false,false,,false,false,F,2025,Spring,Reading,GDS,112,,GDS,1.8,High
T380209322037,2,false,false,,false,false,F,2025,Spring,Writing,EXS,,,EXS,1.0,High
T380209322037,2,false,false,,false,false,F,2025,Spring,Maths,GDS,115,,GDS,2.5,High
D380209322007,3,false,true,,false,false,M,2025,Spring,Reading,WTS,85,,WTS,-1.5,Low
D380209322007,3,false,true,,false,false,M,2025,Spring,Writing,PKE,,,PKE,-2.3,Low
D380209322007,3,false,true,,false,false,M,2025,Spring,Maths,WTS,88,,WTS,-1.0,Low
D380209322007,3,false,true,,false,false,M,2025,Spring,Science,WTS,,,WTS,,
P380209322006,3,false,true,,false,false,M,2025,Spring,Reading,EXS,100,,EXS,0.3,Middle
P380209322006,3,false,true,,false,false,M,2025,Spring,Writing,WTS,,,WTS,-0.5,Middle
P380209322006,3,false,true,,false,false,M,2025,Spring,Maths,EXS,102,,EXS,0.7,Middle
