Five-Year Ofsted Inspection Data: Non-association independent schools,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Each row in the table shows information about an independent school at a given time. Blank cells indicate that the provider had not been inspected at the time of reporting.,,,,,,,,,,,,,,,,,,,,
URN,Name,Five-Year Ofsted Inspection Data publish date,Publication type,Remit,As at date,Published date,Government office region,Local authority area,Constituency,Postcode,Provider type,Overall effectiveness,Effectiveness of leadership and management,Quality of education,Personal development,Behaviour and attitudes,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Independent school standards met
100082,College Francais Bilingue De Londres,03/12/2024,OS,Non-association independent schools,31/08/2024,28/11/2022,London,Camden,Holborn and St Pancras,NW5 3AX,Other Independent School,2,2,2,2,2,Yes,1,,All standards Met
100287,Yesodey Hatorah School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,London,Hackney,Hackney North and Stoke Newington,N16 5AE,Other Independent School,3,3,3,3,2,Yes,2,,Did not meet all standards
100289,Talmud Torah Yetev Lev,03/12/2024,OS,Non-association independent schools,31/08/2024,09/04/2024,London,Hackney,Hackney North and Stoke Newington,N16 6AX,Other Independent School,4,4,4,4,2,Yes,,,Did not meet all standards
100291,Bnois Jerusalem Girls School,03/12/2024,OS,Non-association independent schools,31/08/2024,01/07/2024,London,Hackney,Tottenham,N16 5DL,Other Independent School,3,3,2,3,1,Yes,3,,Did not meet all standards
100293,Beis Rochel d'Satmar Girls' School,03/12/2024,OS,Non-association independent schools,31/08/2024,14/02/2023,London,Hackney,Tottenham,N16 5DL,Other Independent School,3,3,2,3,2,Yes,2,3,Did not meet all standards
100294,Talmud Torah Machzikei Hadass School,03/12/2024,OS,Non-association independent schools,31/08/2024,10/09/2024,London,Hackney,Hackney North and Stoke Newington,E5 9SN,Other Independent School,3,3,3,3,2,Yes,2,,All standards Met
100295,Beis Malka Girls' School,03/12/2024,OS,Non-association independent schools,31/08/2024,02/03/2020,London,Hackney,Hackney North and Stoke Newington,N16 6XD,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
100296,Talmud Torah Chaim Meirim Wiznitz School,03/12/2024,OS,Non-association independent schools,31/08/2024,24/09/2024,London,Hackney,Hackney North and Stoke Newington,N16 6XB,Other Independent School,3,3,3,3,2,Yes,,,Did not meet all standards
100298,Bobov Primary Boys School,03/12/2024,OS,Non-association independent schools,31/08/2024,09/09/2024,London,Hackney,Hackney North and Stoke Newington,N16 6UE,Other Independent School,4,4,4,4,2,Yes,4,,Did not meet all standards
100299,T T T Y Y School,03/12/2024,OS,Non-association independent schools,31/08/2024,13/09/2023,London,Hackney,Hackney North and Stoke Newington,N16 5NH,Other Independent School,4,4,4,3,2,Yes,4,,Did not meet all standards
100300,Tayyibah Girls' School,03/12/2024,OS,Non-association independent schools,31/08/2024,15/05/2022,London,Hackney,Hackney North and Stoke Newington,N16 6JJ,Other Independent School,2,2,2,2,1,Yes,,,All standards Met
100371,Ecole Française de Londres Jacques Prévert,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,London,Hammersmith and Fulham,Hammersmith and Chiswick,W6 7BE,Other Independent School,1,1,1,1,1,Yes,1,,All standards Met
100372,Evergreen Primary School,03/12/2024,OS,Non-association independent schools,31/08/2024,19/01/2023,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 4QT,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
100375,L'Ecole des Petits School,03/12/2024,OS,Non-association independent schools,31/08/2024,12/05/2020,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 2NB,Other Independent School,1,1,1,1,1,Yes,1,,All standards Met
100516,St Philip's School,03/12/2024,OS,Non-association independent schools,31/08/2024,12/05/2022,London,Kensington and Chelsea,Kensington and Bayswater,SW7 4NE,Other Independent School,2,2,1,1,2,Yes,,,All standards Met
100518,Hill House School,03/12/2024,OS,Non-association independent schools,31/08/2024,04/10/2022,London,Kensington and Chelsea,Kensington and Bayswater,SW1X 0EP,Other Independent School,2,2,2,1,1,Yes,2,,All standards Met
100537,Ashbourne College,03/12/2024,OS,Non-association independent schools,31/08/2024,31/01/2022,London,Kensington and Chelsea,Kensington and Bayswater,W8 4PL,Other Independent School,1,1,1,1,1,Yes,,1,All standards Met
100547,Lycee Francais Charles de Gaulle,03/12/2024,OS,Non-association independent schools,31/08/2024,22/01/2023,London,Kensington and Chelsea,Kensington and Bayswater,SW7 2DG,Other Independent School,4,4,2,3,2,No,2,2,Did not meet all standards
100982,Madani Secondary Girls' School,03/12/2024,OS,Non-association independent schools,31/08/2024,27/05/2020,London,Tower Hamlets,Bethnal Green and Stepney,E1 1HL,Other Independent School,2,2,2,2,1,Yes,,2,All standards Met
101065,Merlin School,03/12/2024,OS,Non-association independent schools,31/08/2024,09/09/2024,London,Wandsworth,Putney,SW15 2BZ,Other Independent School,1,1,1,1,1,Yes,1,,All standards Met
101090,Al Risalah Secondary School,03/12/2024,OS,Non-association independent schools,31/08/2024,15/05/2022,London,Wandsworth,Tooting,SW17 7TJ,Other Independent School,2,2,2,1,2,Yes,2,,All standards Met
101091,Parkgate House School,03/12/2024,OS,Non-association independent schools,31/08/2024,28/04/2022,London,Wandsworth,Battersea,SW4 9SD,Other Independent School,1,1,1,1,1,Yes,1,,All standards Met
101174,St John's Wood Pre-Preparatory School,03/12/2024,OS,Non-association independent schools,31/08/2024,07/02/2024,London,Westminster,Cities of London and Westminster,NW8 7NE,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
101385,Pardes House Grammar School,03/12/2024,OS,Non-association independent schools,31/08/2024,25/09/2024,London,Barnet,Finchley and Golders Green,N3 1SA,Other Independent School,3,3,3,3,2,Yes,,,Did not meet all standards
101387,Menorah Grammar School,03/12/2024,OS,Non-association independent schools,31/08/2024,20/03/2023,London,Barnet,Hendon,HA8 0QS,Other Independent School,4,4,4,3,2,Yes,,4,Did not meet all standards
101388,Beth Jacob Grammar School for Girls,03/12/2024,OS,Non-association independent schools,31/08/2024,23/05/2023,London,Barnet,Hendon,NW4 2AT,Other Independent School,3,3,2,3,1,Yes,,2,Did not meet all standards
101573,"Ysgol Gymraeg Llundain, London Welsh School",03/12/2024,OS,Non-association independent schools,31/08/2024,20/03/2023,London,Ealing,Ealing North,W7 1PD,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
101575,Islamia School for Girls',03/12/2024,OS,Non-association independent schools,31/08/2024,24/09/2023,London,Brent,Queen's Park and Maida Vale,NW6 6PE,Other Independent School,2,2,2,1,1,Yes,,,All standards Met
101695,Darul Uloom London School,03/12/2024,OS,Non-association independent schools,31/08/2024,07/06/2022,London,Bromley,Eltham and Chislehurst,BR7 6SD,Other Independent School,2,2,2,1,2,Yes,,2,All standards Met
101843,Rutherford School,03/12/2024,OS,Non-association independent schools,31/08/2024,05/12/2022,London,Croydon,Croydon South,CR2 7HZ,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
101953,The Sybil Elgar School,03/12/2024,OS,Non-association independent schools,31/08/2024,24/11/2021,London,Ealing,Ealing Southall,UB2 4NY,Other Independent Special School,1,1,1,1,1,Yes,,1,All standards Met
101958,The Japanese School,03/12/2024,OS,Non-association independent schools,31/08/2024,27/07/2023,London,Ealing,Ealing Central and Acton,W3 9PU,Other Independent School,4,4,1,2,1,No,,,Did not meet all standards
101959,Greek Secondary School of London,03/12/2024,OS,Non-association independent schools,31/08/2024,29/02/2024,London,Haringey,Southgate and Wood Green,N22 8LB,Other Independent School,4,4,3,3,2,No,,2,Did not meet all standards
101964,The Eden School,03/12/2024,OS,Non-association independent schools,31/08/2024,09/05/2023,London,Hillingdon,Hayes and Harlington,UB7 0AQ,Other Independent School,4,4,4,3,2,No,,,Did not meet all standards
102171,Beis Chinuch Lebonos Girls School,03/12/2024,OS,Non-association independent schools,31/08/2024,14/03/2023,London,Hackney,Tottenham,N4 2SH,Other Independent School,3,3,3,3,2,Yes,3,,Did not meet all standards
102550,International School of London,03/12/2024,OS,Non-association independent schools,31/08/2024,04/02/2024,London,Hounslow,Hammersmith and Chiswick,W3 8LG,Other Independent School,2,2,2,2,2,Yes,2,2,All standards Met
102693,Norwegian School in London,03/12/2024,OS,Non-association independent schools,31/08/2024,30/01/2023,London,Merton,Wimbledon,SW20 8AH,Other Independent School,2,2,2,1,1,Yes,,,All standards Met
102694,Blossom House School,03/12/2024,OS,Non-association independent schools,31/08/2024,20/12/2023,London,Merton,Wimbledon,KT3 6JJ,Other Independent Special School,1,1,1,1,1,Yes,1,1,All standards Met
102939,Jack and Jill School,03/12/2024,OS,Non-association independent schools,31/08/2024,02/03/2020,London,Richmond upon Thames,Twickenham,TW12 3HX,Other Independent School,1,1,1,1,1,Yes,1,,All standards Met
102945,The German School,03/12/2024,OS,Non-association independent schools,31/08/2024,31/07/2022,London,Richmond upon Thames,Richmond Park,TW10 7AH,Other Independent School,2,2,2,1,1,Yes,1,1,All standards Met
102948,The Swedish School,03/12/2024,OS,Non-association independent schools,31/08/2024,10/07/2023,London,Richmond upon Thames,Richmond Park,SW13 9JS,Other Independent School,1,1,1,1,1,Yes,1,1,All standards Met
102950,The Harrodian School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,London,Richmond upon Thames,Richmond Park,SW13 9QN,Other Independent School,2,2,2,2,1,Yes,2,2,All standards Met
103111,Hyland House School,03/12/2024,OS,Non-association independent schools,31/08/2024,07/11/2023,London,Haringey,Tottenham,N17 9AB,Other Independent School,3,3,3,2,2,Yes,2,,Did not meet all standards
