Five-Year Ofsted Inspection Data: Initial teacher education,,,,,,,,,,,,,,,
This worksheet contains one table. Each row in the table shows information about an initial teacher education provider at a given time. Blank cells indicate that the provider had not been inspected at the time of reporting.,,,,,,,,,,,,,,,
URN,Name,Five-Year Ofsted Inspection Data publish date,Publication type,Remit,As at date,Published date,Government office region,Local authority area,Constituency,Postcode,Provider type,Phase,Overall effectiveness,The quality of education and training,Leadership and management
70000,Anglia Ruskin University,03/12/2024,OS,Initial teacher education,31/08/2024,04/07/2014,East of England,Essex,Not available,CM1 1SQ,HEI,Primary,3,3,3
70001,University of Birmingham,03/12/2024,OS,Initial teacher education,31/08/2024,19/04/2024,West Midlands,Birmingham,Not available,B15 2TT,HEI,Primary,1,1,1
70001,University of Birmingham,03/12/2024,OS,Initial teacher education,31/08/2024,19/04/2024,West Midlands,Birmingham,Not available,B15 2TT,HEI,Secondary,2,2,2
70002,Bath Spa University,03/12/2024,OS,Initial teacher education,31/08/2024,09/05/2024,South West,Bath and North East Somerset,Not available,BA1 5SF,HEI,Primary,2,2,2
70002,Bath Spa University,03/12/2024,OS,Initial teacher education,31/08/2024,09/05/2024,South West,Bath and North East Somerset,Not available,BA1 5SF,HEI,Secondary,1,1,1
70004,Bishop Grosseteste University,03/12/2024,OS,Initial teacher education,31/08/2024,30/04/2024,East Midlands,Lincolnshire,Not available,LN1 3DY,HEI,FE,2,2,2
70004,Bishop Grosseteste University,03/12/2024,OS,Initial teacher education,31/08/2024,30/04/2024,East Midlands,Lincolnshire,Not available,LN1 3DY,HEI,Primary,2,2,2
70004,Bishop Grosseteste University,03/12/2024,OS,Initial teacher education,31/08/2024,30/04/2024,East Midlands,Lincolnshire,Not available,LN1 3DY,HEI,Secondary,2,2,2
70005,University of Brighton,03/12/2024,OS,Initial teacher education,31/08/2024,05/06/2024,South East,Brighton and Hove,Not available,BN1 9PH,HEI,Early years,2,2,2
70005,University of Brighton,03/12/2024,OS,Initial teacher education,31/08/2024,05/06/2024,South East,Brighton and Hove,Not available,BN1 9PH,HEI,FE,2,2,2
70005,University of Brighton,03/12/2024,OS,Initial teacher education,31/08/2024,05/06/2024,South East,Brighton and Hove,Not available,BN1 9PH,HEI,Primary,1,1,1
70005,University of Brighton,03/12/2024,OS,Initial teacher education,31/08/2024,05/06/2024,South East,Brighton and Hove,Not available,BN1 9PH,HEI,Secondary,1,1,1
70006,University of Bristol,03/12/2024,OS,Initial teacher education,31/08/2024,18/07/2024,South West,Bristol,Not available,BS8 1JA,HEI,Secondary,2,2,2
70007,Bromley Schools' Collegiate,03/12/2024,OS,Initial teacher education,31/08/2024,23/06/2023,London,Bromley,Not available,BR1 3UH,SCITT,Primary and Secondary,2,2,2
70008,Oxford Brookes University,03/12/2024,OS,Initial teacher education,31/08/2024,26/04/2024,South East,Oxfordshire,Not available,OX2 9AT,HEI,FE,4,4,4
70008,Oxford Brookes University,03/12/2024,OS,Initial teacher education,31/08/2024,26/04/2024,South East,Oxfordshire,Not available,OX2 9AT,HEI,Primary and Secondary,3,3,2
70009,Brunel University London,03/12/2024,OS,Initial teacher education,31/08/2024,26/07/2023,London,Hillingdon,Not available,UB8 3PH,HEI,Primary and Secondary,2,2,2
70011,Canterbury Christ Church University,03/12/2024,OS,Initial teacher education,31/08/2024,10/07/2023,South East,Kent,Not available,CT1 1QU,HEI,FE,2,2,2
70011,Canterbury Christ Church University,03/12/2024,OS,Initial teacher education,31/08/2024,10/07/2023,South East,Kent,Not available,CT1 1QU,HEI,Primary,2,2,2
70011,Canterbury Christ Church University,03/12/2024,OS,Initial teacher education,31/08/2024,10/07/2023,South East,Kent,Not available,CT1 1QU,HEI,Secondary,2,2,2
70013,University of Chichester,03/12/2024,OS,Initial teacher education,31/08/2024,13/11/2017,South East,West Sussex,Not available,PO21 1HR,HEI,Early years,2,2,2
70013,University of Chichester,03/12/2024,OS,Initial teacher education,31/08/2024,03/07/2023,South East,West Sussex,Not available,PO21 1HR,HEI,Primary,1,1,1
70013,University of Chichester,03/12/2024,OS,Initial teacher education,31/08/2024,03/07/2023,South East,West Sussex,Not available,PO21 1HR,HEI,Secondary,1,1,1
70014,Chiltern Training Group,03/12/2024,OS,Initial teacher education,31/08/2024,,East of England,Luton,Not available,LU4 9TJ,SCITT,Early years,,,
70014,Chiltern Training Group,03/12/2024,OS,Initial teacher education,31/08/2024,04/07/2023,East of England,Luton,Not available,LU4 9TJ,SCITT,Primary,1,1,1
70014,Chiltern Training Group,03/12/2024,OS,Initial teacher education,31/08/2024,04/07/2023,East of England,Luton,Not available,LU4 9TJ,SCITT,Secondary,1,1,1
70016,Cornwall School Centred Initial Teacher Training. (Cornwall SCITT),03/12/2024,OS,Initial teacher education,31/08/2024,14/03/2023,South West,Cornwall,Not available,TR1 3XX,SCITT,Primary and Secondary,2,2,2
70018,University of Derby,03/12/2024,OS,Initial teacher education,31/08/2024,05/06/2024,East Midlands,Derby,Not available,DE22 1GB,HEI,FE,1,1,1
70018,University of Derby,03/12/2024,OS,Initial teacher education,31/08/2024,05/06/2024,East Midlands,Derby,Not available,DE22 1GB,HEI,Primary,1,1,1
70018,University of Derby,03/12/2024,OS,Initial teacher education,31/08/2024,05/06/2024,East Midlands,Derby,Not available,DE22 1GB,HEI,Secondary,1,1,1
70021,Durham University,03/12/2024,OS,Initial teacher education,31/08/2024,12/07/2024,North East,Durham,Not available,DH1 3LE,HEI,Primary,3,3,3
70021,Durham University,03/12/2024,OS,Initial teacher education,31/08/2024,12/07/2024,North East,Durham,Not available,DH1 3LE,HEI,Secondary,3,3,3
70023,Forest Independent Primary Collegiate SCITT,03/12/2024,OS,Initial teacher education,31/08/2024,12/01/2016,London,Enfield,Not available,N13 5HE,SCITT,Primary,2,2,2
70024,University of Exeter,03/12/2024,OS,Initial teacher education,31/08/2024,03/07/2023,South West,Devon,Not available,EX1 2LU,HEI,Primary,1,1,1
70024,University of Exeter,03/12/2024,OS,Initial teacher education,31/08/2024,03/07/2023,South West,Devon,Not available,EX1 2LU,HEI,Secondary,2,2,2
70026,Gloucestershire Initial Teacher Education Partnership (GITEP),03/12/2024,OS,Initial teacher education,31/08/2024,,South West,Gloucestershire,Not available,GL51 3EF,SCITT,Primary,,,
70026,Gloucestershire Initial Teacher Education Partnership (GITEP),03/12/2024,OS,Initial teacher education,31/08/2024,11/07/2023,South West,Gloucestershire,Not available,GL51 3EF,SCITT,Secondary,1,1,1
70027,University of Greenwich,03/12/2024,OS,Initial teacher education,31/08/2024,19/07/2023,London,Greenwich,Not available,SE18 6HQ,HEI,Early years,2,2,2
70027,University of Greenwich,03/12/2024,OS,Initial teacher education,31/08/2024,19/07/2023,London,Greenwich,Not available,SE18 6HQ,HEI,FE,2,2,2
70027,University of Greenwich,03/12/2024,OS,Initial teacher education,31/08/2024,19/07/2023,London,Greenwich,Not available,SE18 6HQ,HEI,Primary,2,2,2
70027,University of Greenwich,03/12/2024,OS,Initial teacher education,31/08/2024,19/07/2023,London,Greenwich,Not available,SE18 6HQ,HEI,Secondary,2,2,2
70028,The Grand Union Training Partnership,03/12/2024,OS,Initial teacher education,31/08/2024,21/09/2022,East Midlands,West Northamptonshire,Not available,NN12 6DJ,SCITT,Secondary,2,2,2
70029,University of Hertfordshire,03/12/2024,OS,Initial teacher education,31/08/2024,28/03/2023,East of England,Hertfordshire,Not available,AL10 9AB,HEI,Primary,2,2,2
70029,University of Hertfordshire,03/12/2024,OS,Initial teacher education,31/08/2024,28/03/2023,East of England,Hertfordshire,Not available,AL10 9AB,HEI,Secondary,2,2,2
70030,University of Huddersfield,03/12/2024,OS,Initial teacher education,31/08/2024,14/06/2024,Yorkshire and The Humber,Kirklees,Not available,HD1 3DH,HEI,Early years,2,2,2
70030,University of Huddersfield,03/12/2024,OS,Initial teacher education,31/08/2024,14/06/2024,Yorkshire and The Humber,Kirklees,Not available,HD1 3DH,HEI,FE,2,2,2
70030,University of Huddersfield,03/12/2024,OS,Initial teacher education,31/08/2024,14/06/2024,Yorkshire and The Humber,Kirklees,Not available,HD1 3DH,HEI,Primary,2,2,2
70030,University of Huddersfield,03/12/2024,OS,Initial teacher education,31/08/2024,14/06/2024,Yorkshire and The Humber,Kirklees,Not available,HD1 3DH,HEI,Secondary,2,2,2
70031,University of Hull,03/12/2024,OS,Initial teacher education,31/08/2024,,Yorkshire and The Humber,Kingston upon Hull,Not available,HU6 7RX,HEI,Early years,,,
70031,University of Hull,03/12/2024,OS,Initial teacher education,31/08/2024,26/04/2024,Yorkshire and The Humber,Kingston upon Hull,Not available,HU6 7RX,HEI,Primary,2,2,2
70031,University of Hull,03/12/2024,OS,Initial teacher education,31/08/2024,21/03/2023,Yorkshire and The Humber,Kingston upon Hull,Not available,HU6 7RX,HEI,Secondary,4,3,4
70032,Liverpool John Moores University,03/12/2024,OS,Initial teacher education,31/08/2024,25/07/2023,North West,Liverpool,Not available,L1 9DE,HEI,Primary,2,2,2
