FIELD NAME IN APP,DATA SOURCE,REQUIRED?,EXAMPLE,YOUR COL 1
pupil_id,APP GENERATED,YES,(auto),
upn,FILE IMPORT,YES,E123456789012,
surname,FILE IMPORT,YES,Smith,
first_name,FILE IMPORT,YES,John,
date_of_birth,FILE IMPORT,YES,2015-05-15,
gender,FILE IMPORT,YES,M,
year_group,FILE IMPORT,YES,4,
class_name,FILE IMPORT,NO,4R,
sen_status,FILE IMPORT,NO,N,
sen_provision,FILE IMPORT,NO,,
pupil_premium_eligible,FILE IMPORT,NO,TRUE,
fsm_eligible,FILE IMPORT,NO,TRUE,
looked_after_child,FILE IMPORT,NO,FALSE,
eal,FILE IMPORT,NO,FALSE,
ethnicity,FILE IMPORT,NO,WBRI,
first_language,FILE IMPORT,NO,English,
address,FILE IMPORT,NO,123 School Lane,
post_code,FILE IMPORT,NO,AB12 3CD,
