FIELD NAME IN APP,DATA SOURCE,REQUIRED?,EXAMPLE,YOUR COL 1,YOUR COL 2,YOUR COL 3,YOUR COL 4,YOUR COL 5
first_name,FILE IMPORT,YES,John,,,,,
last_name,FILE IMPORT,YES,Smith,,,,,
email,FILE IMPORT,YES,john.smith@aurora-primary.co.uk,,,,,
role,FILE IMPORT,YES,Teacher,,,,,
phone,FILE IMPORT,NO,01234 567890,,,,,
employee_id,FILE IMPORT,NO,ABC123,,,,,
dbs_number,DBS CHECK,YES,123456789012,,,,,
dbs_expiry_date,DBS CHECK,YES,2025-12-31,,,,,
start_date,FILE IMPORT,YES,2020-09-01,,,,,
contract_type,FILE IMPORT,YES,Full-time,,,,,
hours_per_week,FILE IMPORT,NO,32.5,,,,,
pay_scale,FILE IMPORT,NO,M4,,,,,
pay_scale_point,FILE IMPORT,NO,5,,,,,
gender,FILE IMPORT,NO,Prefer not to say,,,,,
date_of_birth,FILE IMPORT,NO,1985-05-15,,,,,
address,FILE IMPORT,NO,123 School Street,,,,,
class_assignment,APP GENERATED,NO,Year 4 - Badgers,,,,,
subject_specialism,FILE IMPORT,NO,"Mathematics, Science",,,,,
sen_responsible,FILE IMPORT,NO,No,,,,,
designated_safeguarding_lead,FILE IMPORT,NO,No,,,,,
first_aid_qualified,FILE IMPORT,NO,Yes,,,,,
notes,FILE IMPORT,NO,Additional information,,,,,
