FIELD NAME IN APP,DATA SOURCE,REQUIRED?,EXAMPLE,YOUR COL 1
transaction_id,APP GENERATED,YES,(auto),
date,FILE IMPORT,YES,2024-09-15,
reference,FILE IMPORT,YES,INV-001234,
description,FILE IMPORT,YES,Office Supplies,
nominal_code,FILE IMPORT,YES,PRSERA,
amount,FILE IMPORT,YES,125.5,
vat_amount,FILE IMPORT,NO,25.1,
total_amount,FILE IMPORT,NO,150.6,
supplier,FILE IMPORT,YES,Staples UK,
budget_line_code,FILE IMPORT,NO,PRSERA,
period,FILE IMPORT,YES,2024-09,
fund_code,FILE IMPORT,NO,GMG,
analysis_code,FILE IMPORT,NO,,
reconciled,APP GENERATED,NO,FALSE,
receipt_uploaded,FILE IMPORT,NO,FALSE,
